#  | Insider              | Date       | Code | D/ND | Shares    | PriceReq? | PriceSrc | FN? | 10b5-1? | Late? | FSL | Signal
---+----------------------+------------+------+------+-----------+-----------+----------+-----+---------+-------+-----+-------
50 | Knight Travis A      | 2019-09-19 | A    | ND   | 1,996     | N         | missing  | Y   | N       | N     | A   | 0.05  
51 | Connors John G       | 2019-09-19 | A    | ND   | 1,996     | N         | missing  | Y   | N       | N     | A   | 0.05  
52 | Abston Chris L       | 2019-09-01 | A    | D    | 23,670    | N         | derived  | Y   | N       | N     | A   | 0.05  
53 | Slusher John F       | 2019-08-01 | A    | ND   | 13,956    | N         | missing  | Y   | N       | N     | A   | 0.05  
54 | Slusher John F       | 2019-08-01 | M    | D    | 110,000   | Y         | derived  | Y   | N       | N     | A   | 0.05  
55 | Slusher John F       | 2019-08-01 | A    | D    | 87,658    | N         | derived  | Y   | N       | N     | A   | 0.05  
56 | PARKER MARK G        | 2019-08-01 | A    | ND   | 48,124    | N         | missing  | Y   | N       | N     | A   | 0.05  
57 | PARKER MARK G        | 2019-08-01 | A    | D    | 302,268   | N         | derived  | Y   | N       | N     | A   | 0.05  
58 | Krane Hilary K       | 2019-08-01 | A    | ND   | 13,956    | N         | missing  | Y   | N       | N     | A   | 0.05  
59 | Krane Hilary K       | 2019-08-01 | A    | D    | 87,658    | N         | derived  | Y   | N       | N     | A   | 0.05  
60 | Hill Elliott         | 2019-08-01 | A    | ND   | 15,641    | N         | missing  | Y   | N       | N     | A   | 0.05  
61 | Hill Elliott         | 2019-08-01 | A    | D    | 98,237    | N         | derived  | Y   | N       | N     | A   | 0.05  
62 | Matheson Monique S.  | 2019-08-01 | A    | ND   | 13,956    | N         | missing  | Y   | N       | N     | A   | 0.05  
63 | Matheson Monique S.  | 2019-08-01 | A    | D    | 87,658    | N         | derived  | Y   | N       | N     | A   | 0.05  
64 | Campion Andrew       | 2019-08-01 | A    | ND   | 13,956    | N         | missing  | Y   | N       | N     | A   | 0.05  
65 | Campion Andrew       | 2019-08-01 | A    | D    | 87,658    | N         | derived  | Y   | N       | N     | A   | 0.05  
66 | Hill Elliott         | 2019-07-09 | M    | D    | 34,100    | Y         | derived  | Y   | N       | N     | A   | 0.05  
