#  | Insider              | Date       | Code | D/ND | Shares     | PriceReq? | PriceSrc | FN? | 10b5-1? | Late? | FSL | Signal
---+----------------------+------------+------+------+------------+-----------+----------+-----+---------+-------+-----+-------
50 | Matheson Monique S.  | 2020-08-24 | M    | D    | 8,500      | Y         | derived  | Y   | N       | N     | A   | 0.05  
51 | Matheson Monique S.  | 2020-08-19 | M    | D    | 8,500      | Y         | derived  | Y   | N       | N     | A   | 0.05  
52 | O'NEILL HEIDI        | 2020-08-10 | M    | D    | 10,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
53 | Krane Hilary K       | 2020-08-01 | A    | ND   | 11,894     | N         | missing  | Y   | N       | N     | A   | 0.05  
54 | Krane Hilary K       | 2020-08-01 | A    | D    | 77,197     | N         | derived  | Y   | N       | N     | A   | 0.05  
55 | PARKER MARK G        | 2020-08-01 | A    | D    | 266,194    | N         | derived  | Y   | N       | N     | A   | 0.05  
56 | O'NEILL HEIDI        | 2020-08-01 | A    | ND   | 11,894     | N         | missing  | Y   | N       | N     | A   | 0.05  
57 | O'NEILL HEIDI        | 2020-08-01 | A    | D    | 77,197     | N         | derived  | Y   | N       | N     | A   | 0.05  
58 | Matheson Monique S.  | 2020-08-01 | A    | ND   | 11,894     | N         | missing  | Y   | N       | N     | A   | 0.05  
59 | Matheson Monique S.  | 2020-08-01 | A    | D    | 77,197     | N         | derived  | Y   | N       | N     | A   | 0.05  
60 | Donahoe John J       | 2020-08-01 | A    | ND   | 36,912     | N         | missing  | Y   | N       | N     | A   | 0.05  
61 | Donahoe John J       | 2020-08-01 | A    | D    | 239,575    | N         | derived  | Y   | N       | N     | A   | 0.05  
62 | Campion Andrew       | 2020-08-01 | A    | ND   | 11,894     | N         | missing  | Y   | N       | N     | A   | 0.05  
63 | Campion Andrew       | 2020-08-01 | A    | D    | 77,197     | N         | derived  | Y   | N       | N     | A   | 0.05  
64 | Friend Matthew       | 2020-08-01 | A    | ND   | 11,894     | N         | missing  | Y   | N       | N     | A   | 0.05  
65 | Friend Matthew       | 2020-08-01 | A    | D    | 77,197     | N         | derived  | Y   | N       | N     | A   | 0.05  
66 | Krane Hilary K       | 2020-07-14 | M    | D    | 11,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
67 | Slusher John F       | 2020-06-01 | A    | ND   | 40,185     | N         | missing  | Y   | N       | N     | A   | 0.05  
68 | Matheson Monique S.  | 2020-06-01 | A    | ND   | 40,185     | N         | missing  | Y   | N       | N     | A   | 0.05  
69 | Krane Hilary K       | 2020-06-01 | A    | ND   | 40,185     | N         | missing  | Y   | N       | N     | A   | 0.05  
70 | O'NEILL HEIDI        | 2020-06-01 | A    | ND   | 60,278     | N         | missing  | Y   | N       | N     | A   | 0.05  
71 | Friend Matthew       | 2020-06-01 | A    | ND   | 60,278     | N         | missing  | Y   | N       | N     | A   | 0.05  
72 | Campion Andrew       | 2020-06-01 | A    | ND   | 100,463    | N         | missing  | Y   | N       | N     | A   | 0.05  
73 | PARKER MARK G        | 2020-06-01 | M    | D    | 123,443    | Y         | derived  | Y   | N       | N     | A   | 0.05  
74 | PARKER MARK G        | 2020-06-01 | M    | D    | 41,557     | Y         | derived  | Y   | N       | N     | A   | 0.05  
